control_id	class	expected_call	anchor_type	resolved_family	actual_call	outcome	note	tier
POS_HAM5	positive	novel	protein_id	tr|V5IN79|V5IN79_NEUCR	novel	hit		R
POS_HAM8	positive	novel	protein_id	tr|J3K3I3|J3K3I3_COCIM	novel	hit		R
POS_SPA1	positive	novel	protein_id	tr|J3K8R1|J3K8R1_COCIM	not_novel	miss		R
NEG_BUSCO01	negative	core	busco		unresolved	unresolved	busco protein not in any profiled family	R
NEG_BUSCO02	negative	core	busco		unresolved	unresolved	busco protein not in any profiled family	R
NEG_BUSCO03	negative	core	busco		unresolved	unresolved	busco protein not in any profiled family	R
NEG_BUSCO04	negative	core	busco		unresolved	unresolved	busco protein not in any profiled family	R
NEG_BUSCO05	negative	core	busco		unresolved	unresolved	busco protein not in any profiled family	R
NEG_BUSCO06	negative	core	busco		unresolved	unresolved	busco protein not in any profiled family	R
NEG_BUSCO07	negative	core	busco		unresolved	unresolved	busco protein not in any profiled family	R
NEG_BUSCO08	negative	core	busco		unresolved	unresolved	busco protein not in any profiled family	R
NEG_BUSCO09	negative	core	busco		unresolved	unresolved	busco protein not in any profiled family	R
NEG_BUSCO10	negative	core	busco		unresolved	unresolved	busco protein not in any profiled family	R
